customer_id,first_name,last_name,email,invoice_date,total,quantity,unit_price,track_id,track_name
2,Leonie,Köhler,leonekohler@surfeu.de,2021-01-01,1.98,1,0.99,2,Balls to the Wall
2,Leonie,Köhler,leonekohler@surfeu.de,2021-01-01,1.98,1,0.99,4,Restless and Wild
4,Bjørn,Hansen,bjorn.hansen@yahoo.no,2021-01-02,3.96,1,0.99,6,Put The Finger On You
4,Bjørn,Hansen,bjorn.hansen@yahoo.no,2021-01-02,3.96,1,0.99,8,Inject The Venom
4,Bjørn,Hansen,bjorn.hansen@yahoo.no,2021-01-02,3.96,1,0.99,10,Evil Walks
4,Bjørn,Hansen,bjorn.hansen@yahoo.no,2021-01-02,3.96,1,0.99,12,Breaking The Rules
8,Daan,Peeters,daan_peeters@apple.be,2021-01-03,5.94,1,0.99,16,Dog Eat Dog
8,Daan,Peeters,daan_peeters@apple.be,2021-01-03,5.94,1,0.99,20,Overdose
8,Daan,Peeters,daan_peeters@apple.be,2021-01-03,5.94,1,0.99,24,Love In An Elevator
8,Daan,Peeters,daan_peeters@apple.be,2021-01-03,5.94,1,0.99,28,Janie's Got A Gun
8,Daan,Peeters,daan_peeters@apple.be,2021-01-03,5.94,1,0.99,32,Deuces Are Wild
8,Daan,Peeters,daan_peeters@apple.be,2021-01-03,5.94,1,0.99,36,Angel
14,Mark,Philips,mphilips12@shaw.ca,2021-01-06,8.91,1,0.99,42,Right Through You
14,Mark,Philips,mphilips12@shaw.ca,2021-01-06,8.91,1,0.99,48,Not The Doctor
14,Mark,Philips,mphilips12@shaw.ca,2021-01-06,8.91,1,0.99,54,Bleed The Freak
14,Mark,Philips,mphilips12@shaw.ca,2021-01-06,8.91,1,0.99,60,Confusion
14,Mark,Philips,mphilips12@shaw.ca,2021-01-06,8.91,1,0.99,66,Por Causa De Você
14,Mark,Philips,mphilips12@shaw.ca,2021-01-06,8.91,1,0.99,72,Angela
14,Mark,Philips,mphilips12@shaw.ca,2021-01-06,8.91,1,0.99,78,Master Of Puppets
14,Mark,Philips,mphilips12@shaw.ca,2021-01-06,8.91,1,0.99,84,Welcome Home (Sanitarium)
14,Mark,Philips,mphilips12@shaw.ca,2021-01-06,8.91,1,0.99,90,Set It Off
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,99,Your Time Has Come
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,108,Dandelion
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,117,Rock 'N' Roll Music
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,126,Moon germs
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,135,Super Terrorizer
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,144,Heart Of Gold
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,153,Evil Woman
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,162,Cornucopia
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,171,Bowels Of The Devil
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,180,Body Count Anthem
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,189,Jerusalem
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,198,When My Left Eye Jumps
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,207,Meditação
23,John,Gordon,johngordon22@yahoo.com,2021-01-11,13.86,1,0.99,216,Esse Cara
37,Fynn,Zimmermann,fzimmermann@yahoo.de,2021-01-19,0.99,1,0.99,230,"Bye, Bye Brasil"
38,Niklas,Schröder,nschroder@surfeu.de,2021-02-01,1.98,1,0.99,231,Atras Da Porta
38,Niklas,Schröder,nschroder@surfeu.de,2021-02-01,1.98,1,0.99,232,Tatuagem
40,Dominique,Lefebvre,dominiquelefebvre@gmail.com,2021-02-01,1.98,1,0.99,234,Morena De Angola
40,Dominique,Lefebvre,dominiquelefebvre@gmail.com,2021-02-01,1.98,1,0.99,236,A Banda
42,Wyatt,Girard,wyatt.girard@yahoo.fr,2021-02-02,3.96,1,0.99,238,Com Açúcar E Com Afeto
42,Wyatt,Girard,wyatt.girard@yahoo.fr,2021-02-02,3.96,1,0.99,240,Meu Caro Amigo
42,Wyatt,Girard,wyatt.girard@yahoo.fr,2021-02-02,3.96,1,0.99,242,Trocando Em Miúdos
42,Wyatt,Girard,wyatt.girard@yahoo.fr,2021-02-02,3.96,1,0.99,244,Gota D'água
46,Hugh,O'Reilly,hughoreilly@apple.ie,2021-02-03,5.94,1,0.99,248,Etnia
46,Hugh,O'Reilly,hughoreilly@apple.ie,2021-02-03,5.94,1,0.99,252,Samba Do Lado
46,Hugh,O'Reilly,hughoreilly@apple.ie,2021-02-03,5.94,1,0.99,256,Sobremesa
46,Hugh,O'Reilly,hughoreilly@apple.ie,2021-02-03,5.94,1,0.99,260,Sangue De Bairro
